0        10       20       30       40       50       60       70       80       90       100      110      120      130      140      
10       0        36       52       70       90       112      136      162      190      220      252      286      322      360      
20       36       0        80       108      140      176      216      260      308      360      416      476      540      608      
30       52       80       0        154      200      252      310      374      444      520      602      690      784      884      
40       70       108      154      0        270      340      418      504      598      700      810      928      1054     1188     
50       90       140      200      270      0        440      540      650      770      900      1040     1190     1350     1520     
60       112      176      252      340      440      0        676      812      960      1120     1292     1476     1672     1880     
70       136      216      310      418      540      676      0        990      1168     1360     1566     1786     2020     2268     
80       162      260      374      504      650      812      990      0        1394     1620     1862     2120     2394     2684     
90       190      308      444      598      770      960      1168     1394     0        1900     2180     2478     2794     3128     
100      220      360      520      700      900      1120     1360     1620     1900     0        2520     2860     3220     3600     
110      252      416      602      810      1040     1292     1566     1862     2180     2520     0        3266     3672     4100     
120      286      476      690      928      1190     1476     1786     2120     2478     2860     3266     0        4150     4628     
130      322      540      784      1054     1350     1672     2020     2394     2794     3220     3672     4150     0        5184     
140      360      608      884      1188     1520     1880     2268     2684     3128     3600     4100     4628     5184     0        
