0        10       20       30       40       50       60       70       80       90       100      110      120      130      140      150      160      170      180      190      
10       0        36       52       70       90       112      136      162      190      220      252      286      322      360      400      442      486      532      580      
20       36       0        80       108      140      176      216      260      308      360      416      476      540      608      680      756      836      920      1008     
30       52       80       0        154      200      252      310      374      444      520      602      690      784      884      990      1102     1220     1344     1474     
40       70       108      154      0        270      340      418      504      598      700      810      928      1054     1188     1330     1480     1638     1804     1978     
50       90       140      200      270      0        440      540      650      770      900      1040     1190     1350     1520     1700     1890     2090     2300     2520     
60       112      176      252      340      440      0        676      812      960      1120     1292     1476     1672     1880     2100     2332     2576     2832     3100     
70       136      216      310      418      540      676      0        990      1168     1360     1566     1786     2020     2268     2530     2806     3096     3400     3718     
80       162      260      374      504      650      812      990      0        1394     1620     1862     2120     2394     2684     2990     3312     3650     4004     4374     
90       190      308      444      598      770      960      1168     1394     0        1900     2180     2478     2794     3128     3480     3850     4238     4644     5068     
100      220      360      520      700      900      1120     1360     1620     1900     0        2520     2860     3220     3600     4000     4420     4860     5320     5800     
110      252      416      602      810      1040     1292     1566     1862     2180     2520     0        3266     3672     4100     4550     5022     5516     6032     6570     
120      286      476      690      928      1190     1476     1786     2120     2478     2860     3266     0        4150     4628     5130     5656     6206     6780     7378     
130      322      540      784      1054     1350     1672     2020     2394     2794     3220     3672     4150     0        5184     5740     6322     6930     7564     8224     
140      360      608      884      1188     1520     1880     2268     2684     3128     3600     4100     4628     5184     0        6380     7020     7688     8384     9108     
150      400      680      990      1330     1700     2100     2530     2990     3480     4000     4550     5130     5740     6380     0        7750     8480     9240     10030    
160      442      756      1102     1480     1890     2332     2806     3312     3850     4420     5022     5656     6322     7020     7750     0        9306     10132    10990    
170      486      836      1220     1638     2090     2576     3096     3650     4238     4860     5516     6206     6930     7688     8480     9306     0        11060    11988    
180      532      920      1344     1804     2300     2832     3400     4004     4644     5320     6032     6780     7564     8384     9240     10132    11060    0        13024    
190      580      1008     1474     1978     2520     3100     3718     4374     5068     5800     6570     7378     8224     9108     10030    10990    11988    13024    0        
